tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-404,Indian Wells Masters,Hard,96,M,O,20260305,20,B0BI,,,Sebastian Baez,R,170,ARG,25.185,53,940,T0AP,,,Chun-Hsin Tseng,R,175,TPE,24.575,144,414,6-3 6-2,3,R128,76,0,1,52,40,31,5,8,4,4,0,5,57,40,25,4,9,4,8
2026-404,Indian Wells Masters,Hard,96,M,O,20260305,21,D875,,,Grigor Dimitrov,R,191,BUL,34.806,42,1105,A0GC,,,Terence Atmane,L,193,FRA,24.153,52,958,6-4 5-7 6-4,3,R128,145,3,2,94,58,43,17,16,2,6,10,8,117,63,46,21,16,11,16
2026-404,Indian Wells Masters,Hard,96,M,O,20260305,22,F0BY,,,Jacob Fearnley,R,183,GBR,24.641,87,662,D923,,,Damir Dzumhur,R,175,BIH,33.793,64,840,6-3 6-3,3,R128,83,6,5,53,33,28,8,9,1,2,1,2,63,43,25,7,9,6,10
2026-404,Indian Wells Masters,Hard,96,M,O,20260306,23,BD06,,,Roberto Bautista Agut,R,183,ESP,37.892,93,645,M0CI,,,Fabian Marozsan,R,193,HUN,26.409,46,1040,6-4 6-7(2) 6-4,3,R128,140,4,2,94,60,47,20,16,8,9,7,3,109,68,46,22,16,1,4
2026-404,Indian Wells Masters,Hard,96,M,O,20260306,24,BM95,,,Benjamin Bonzi,R,183,FRA,29.739,111,564,R0EB,,,Valentin Royer,R,188,FRA,24.769,60,872,6-4 6-3,3,R128,76,1,0,48,38,29,5,9,3,4,4,1,60,40,25,9,10,1,5
2026-404,Indian Wells Masters,Hard,96,M,O,20260306,25,M0QI,,,Alex Michelsen,R,193,USA,21.528,44,1085,M0N7,,,Daniel Merida,R,188,ESP,21.44,139,432,6-3 6-4,3,R128,69,6,1,55,41,32,9,10,0,1,4,3,56,41,23,9,9,1,4
2026-404,Indian Wells Masters,Hard,96,M,O,20260306,26,KI82,,,Vit Kopriva,R,178,CZE,28.723,62,848,Z0BZ,,,Michael Zheng,R,188,USA,22.105,145,414,7-6(1) 7-5,3,R128,129,3,8,83,47,32,16,12,4,8,1,2,99,65,37,12,12,5,10
2026-404,Indian Wells Masters,Hard,96,M,O,20260306,27,BT72,,,Nuno Borges,R,185,POR,29.04,49,1020,N0AM,,,Emilio Nava,R,185,USA,24.257,75,753,7-6(9) 7-5,3,R128,110,3,2,79,49,43,18,12,5,5,12,3,94,61,43,18,12,9,10
2026-404,Indian Wells Masters,Hard,96,M,O,20260306,28,C0C8,,,Juan Manuel Cerundolo,L,183,ARG,24.304,70,778,V812,,,Botic van de Zandschulp,R,191,NED,30.42,59,873,7-6(3) 6-7(5) 6-3,3,R128,162,12,1,128,88,61,19,17,4,7,4,9,102,65,47,18,16,1,5
2026-404,Indian Wells Masters,Hard,96,M,O,20260306,29,H0BH,,,Rinky Hijikata,R,178,AUS,25.029,117,547,M0IF,,,Francesco Maestrelli,R,196,ITA,23.206,114,553,7-6(5) 6-4,3,R128,107,5,2,76,44,32,20,11,4,5,7,2,71,52,40,7,11,6,8
2026-404,Indian Wells Masters,Hard,96,M,O,20260306,30,K0AH,,,Sebastian Korda,R,196,USA,25.667,37,1220,C0DF,,,Francisco Comesana,R,178,ARG,25.413,82,694,7-5 6-0,3,R128,78,0,2,49,29,22,7,9,1,4,1,1,58,35,14,8,9,4,11
2026-404,Indian Wells Masters,Hard,96,M,O,20260306,31,MK66,,,Mackenzie McDonald,R,178,USA,30.888,126,498,A0FC,,,Matteo Arnaldi,R,185,ITA,25.032,85,665,6-0 6-1,3,R128,62,2,0,51,27,18,16,7,5,5,2,5,34,14,6,7,6,2,7
2026-404,Indian Wells Masters,Hard,96,M,O,20260306,32,TE30,,,Alejandro Tabilo,L,188,CHI,28.758,40,1138,J0DZ,,,Rafael Jodar,R,191,ESP,19.466,103,594,6-1 6-2,3,R128,58,4,0,43,30,26,7,8,0,0,3,3,43,26,14,6,7,1,5
